iter	Passed	Remaining
0	117	117486
1	118	59262
2	120	39899
3	121	30134
4	121	24264
5	122	20350
6	123	17541
7	124	15495
8	126	13909
9	127	12609
10	128	11537
11	129	10666
12	130	9938
13	133	9371
14	134	8817
15	135	8323
16	136	7908
17	138	7569
18	139	7221
19	141	6910
20	142	6632
21	144	6434
22	146	6214
23	147	5996
24	149	5817
25	150	5642
26	152	5486
27	153	5327
28	154	5182
29	156	5050
30	157	4933
31	159	4810
32	160	4697
33	162	4606
34	163	4502
35	164	4404
36	165	4312
37	167	4229
38	168	4145
39	169	4067
40	171	4003
41	172	3931
42	173	3864
43	174	3799
44	176	3743
45	177	3682
46	178	3625
47	180	3571
48	181	3516
49	182	3465
50	183	3414
51	184	3365
52	186	3323
53	187	3280
54	188	3236
55	189	3198
56	190	3157
57	192	3121
58	193	3084
59	194	3048
60	196	3019
61	197	2987
62	198	2957
63	200	2927
64	201	2895
65	202	2868
66	204	2842
67	205	2817
68	206	2789
69	207	2762
70	209	2738
71	210	2713
72	212	2693
73	213	2671
74	215	2653
75	216	2630
76	217	2608
77	218	2588
78	220	2567
79	221	2547
80	223	2530
81	224	2513
82	225	2489
83	226	2471
84	228	2457
85	229	2441
86	231	2426
87	232	2412
88	234	2401
89	236	2391
90	238	2381
91	241	2380
92	252	2460
93	253	2444
94	256	2444
95	258	2429
96	258	2408
97	259	2388
98	261	2383
99	263	2370
100	264	2353
101	265	2334
102	265	2316
103	266	2298
104	269	2298
105	271	2287
106	272	2270
107	273	2254
108	275	2250
109	276	2240
110	278	2231
111	281	2230
112	282	2215
113	283	2202
114	284	2189
115	287	2187
116	288	2173
117	289	2160
118	289	2146
119	290	2132
120	293	2129
121	295	2123
122	296	2115
123	299	2116
124	300	2106
125	302	2095
126	303	2084
127	305	2083
128	307	2074
129	308	2061
130	308	2049
131	309	2038
132	313	2044
133	314	2033
134	315	2023
135	318	2020
136	319	2012
137	320	1999
138	321	1990
139	324	1991
140	325	1981
141	325	1969
142	327	1960
143	327	1949
